CommonName,ContRatio,Dec,Dec_y,MKType,MatchID,RA,RA_y,SimbadOType,SimbadSpT,SpT,SpecSource,TIC ID,Tmag,dist,lum,pmDec,pmRA,teff,w1mag,w2mag,w3mag,w4mag,alpha,e_alpha,tau,e_tau,gamma,e_gamma,alpha_w,e_alpha_w
V* RT Car,,-59.41336782162461,-59.4133611111111,M2I,458861722,161.196450894821,161.196458333333,RedSG*,M2+Iab,RSG,L,458861722,6.4166,0.0277357387903783,5.26,2.91355,-7.44963,3.5593080109070097,-0.7709999999999999,-0.218,-1.436,-2.051,0.18231284439781228,0.028285553014092208,0.47161866548655196,0.08474438061116885,1.5287561805555514,0.07124480969086372,0.009879177479910113,1.3979603579613745e-05
V* V772 Cen,,-63.414570987398605,-63.414583333333304,Ma,321656644,175.455850978389,175.455875,RedSG*,M2Ibep+B?,RSG,I,321656644,5.2581,0.0589338626436724,4.63,1.0892700000000002,-5.5083400000000005,3.56,-0.457,0.165,0.774,0.21100000000000002,0.8025406290236141,0.06725860628111385,0.27201563741062607,0.01983344775217712,2.6548948010779156,0.13309020114901648,0.04460470146901159,5.008105063411876e-05
HD 101007,,-61.1827779395693,-61.182777777777794,Ma,319508664,174.23716721554797,174.23716666666698,Star,M3-Ib+B,RSG,T,319508664,4.8853,0.0011164282778529,4.367716581060708,0.928167,-6.6467,3.561935763313781,-0.121,0.44799999999999995,1.74,1.516,0.4214163717859615,0.05024264440045346,0.705980112134253,0.08269885544876555,1.5919798970949388,0.03742950166585575,0.007252136873135118,7.609037255347878e-06
V* V648 Cas,,57.855534345960294,57.855527777777795,K7,450147792,42.76645186851471,42.7664583333333,RedSG*,M2Ia,RSG,L,450147792,5.9118,0.0266915609758128,4.9,-1.2525,-0.1839,3.56229286445647,-0.617,-0.359,0.105,-1.1320000000000001,0.05417785006534746,0.0037141396604071387,0.05719734659361952,0.004665874186089405,1.9556918869443471,0.0893596886688557,0.009284101119062851,1.4778001493491794e-05
V* IX Car,,-59.9823804473281,-59.982361111111096,M2Iab,465185147,162.60957842693898,162.609583333333,RedSG*,M2Iab,RSG,L,465185147,4.9023,0.0316481843645532,5.127999999999999,2.3107,-6.05408,3.56229286445647,-0.648,0.052000000000000005,-0.218,-1.4240000000000002,0.17150498289471416,0.02406667375825617,0.7945019036926964,0.1291550322537779,1.5491409468730233,0.06802275987062417,0.009892962527115733,1.0065423209954783e-05
V* W Cep,,58.42609815595261,58.4261111111111,K0Iaep,65034243,339.11484739482,339.114833333333,RedSG*,M0Iaep,RSG,T,65034243,5.2075,0.0536440436607282,5.465924094133028,-2.13212,-3.32933,3.566319621524811,-0.10400000000000001,-0.349,-0.5710000000000001,-2.123,0.593596836904256,0.05507895472223705,0.366550181203052,0.03332549223242336,1.719439966980349,0.04004445765540305,0.013775466198952544,1.5680233200674187e-05
V* V910 Cen,,-61.5780609029365,-61.5780555555556,M0Ib,290681168,173.93730736429,173.93733333333302,LPV*,M0Ib,RSG,L,290681168,5.3041,0.033076370564898996,4.516,0.936818,-6.6986399999999975,3.56820172406699,0.894,0.985,1.7409999999999999,1.22,0.2280887059213486,0.016527178954625625,0.23466430051021012,0.016397985936114017,1.895976229710838,0.04408652928626998,0.006983444555152783,7.40839581038812e-06
V* V528 Car,,-60.9107286676091,-60.910722222222205,Ma,466325776,165.775637858939,165.775625,LPV*,M2Ib:,RSG,L,466325776,4.335,0.0323251505873763,4.912,1.8749200000000001,-7.13023,3.56820172406699,-0.825,0.083,0.779,-0.222,0.30204485193467606,0.029587533963655984,0.4416571856301295,0.04396032842509511,1.6266097645183324,0.03786511267836099,0.007487200313563888,7.941798555996574e-06
V* YZ Per,,57.04616612836221,57.046138888888905,M2,245588987,39.605916068915704,39.6059166666667,RedSG*,M1Iab,RSG,L,245588987,5.1604,0.00226398837832207,4.684,-1.39052,-0.118755,3.56820172406699,-0.735,-0.374,-0.165,-1.111,0.09926720409173745,0.005588310264041227,0.04574172671812618,0.002631670321057534,2.3417013065058008,0.09135552270283584,0.011275820142071463,1.8428578782760797e-05
V* V362 Aur,,29.921054655346303,29.9210555555556,K5,285640583,81.7925743950705,81.7925833333333,LPV*,M1.5Ib,RSG,L,285640583,4.886,0.0280765472816124,4.62,-2.8919200000000003,-0.678009,3.56820172406699,-0.679,-0.231,1.256,0.885,0.2467315158041704,0.03794542868723707,0.43216387235034287,0.07732925874364174,1.5335644920086,0.07259327516533895,0.01397076098809509,2.0742845796317277e-05
V* PR Per,,57.862819151927795,57.8628055555556,K5,348442493,35.42670692176929,35.426708333333295,RedSG*,M1-Iab-Ib,RSG,T,348442493,5.4246,0.0490215261486951,4.440330142408408,-1.3275299999999999,-0.7879689999999999,3.570426178358973,0.231,0.843,1.129,0.037000000000000005,0.36197749329305734,0.028727552623602468,0.0912661548002903,0.00829041527569265,1.9067159285469277,0.08355723530284587,0.041700387162801764,6.515596093448896e-05
V* FZ Per,,57.1583238704569,57.1583333333333,K5,348314886,35.2485223065368,35.2485416666667,RedSG*,M1Iab,RSG,T,348314886,5.649,0.0508840472086968,4.467903656901362,-1.22251,-0.696239,3.571242850560224,,1.057,1.328,0.695,0.06488964890877347,0.003796112599565941,0.043817456406526935,0.002739582459070685,2.3833674241421727,0.11582468178052689,0.011350255342162581,1.8206960004669517e-05
V* V809 Cas,,62.739775692354094,62.739777777777796,K5Ib,265186608,349.84905043252996,349.849041666667,LPV*,K4.5Ib,RSG,L,265186608,4.11718,0.0162876119348973,4.4719999999999995,-2.004,-2.25655,3.57403126772772,-1.463,-0.402,0.377,0.195,0.12796657735792222,0.007314390688787769,0.09981051917564121,0.00673882386181947,1.637900368460149,0.0369296329601694,0.009983977510304099,1.1752728890843592e-05
V* V439 Per,,57.199439687431294,57.199527777777796,M0Iab,348671468,35.796105210997204,35.795958333333296,RedSG*,M0.5Iab,RSG,L,348671468,5.8025,0.0932124403147942,4.42,-0.9202610000000001,-0.308077,3.57978359661681,1.034,1.4380000000000002,2.171,1.64,0.12153026334736054,0.008791848152246646,0.07965624456496825,0.006176292043460909,2.0375161010594027,0.08039139188175475,0.011135908544867386,1.781818695748668e-05
V* V605 Cas,,59.671364168379895,59.671361111111096,M2Iab,348436054,35.0935971239977,35.0935833333333,RedSG*,M2Iab,RSG,T,348436054,5.7105,0.0273790140310032,4.920176341787529,-0.9527680000000001,-0.710791,3.585347911094591,0.435,0.8240000000000001,1.197,0.152,0.3052578337298323,0.028663554126895453,0.15279664880779614,0.01510629841994217,1.8108414350344912,0.06283699708842017,0.015254453468844693,2.4370276224054638e-05
*  41 Gem,,16.0790004917493,16.079,K2,337334476,105.06593014882401,105.06591666666701,V*,K3-Ib,RSG,T,337334476,4.23,0.0466706687600374,4.340532671152432,-4.85302,-2.08829,3.5970366649776535,,,,,0.9882081493049627,0.13971447391517436,0.341729097078562,0.047329839789465,2.1043356430705877,0.1350321673052704,0.0526667335088865,8.208954489908472e-05
V* RW Cep,,55.9632267213371,55.96322222222221,Ma,422108142,335.779230033113,335.77925,RedSG*,K2_0-Ia,RSG,T,422108142,4.3697,0.0433712914731113,5.469572772098873,-2.3494200000000003,-3.61588,3.5972562829251418,-0.726,-0.267,-0.728,-2.345,0.17632734856497675,0.015347245658272855,0.2715153643280397,0.025608877000159146,1.8416025663114386,0.06788746004693633,0.011862194701429445,1.3116678895403161e-05
HD 155603,,-39.766651019944,-39.7666388888889,K5p,188405014,258.615230304742,258.61525,SG*,K0_0-Ia,RSG,T,188405014,4.1377,0.0698389008733841,4.869678666171915,-1.08693,-0.899525,3.6009728956867484,-1.429,-0.88,-0.344,-1.7469999999999999,0.14372533987064637,0.009803633966318828,0.06836091605073091,0.0051788066012035,1.999135316372444,0.07860400581591817,0.015869800682044997,2.723633460985277e-05
V* NR Vul,,24.923382627786197,24.923388888888898,M3,435670188,297.549699905156,297.549708333333,RedSG*,M1Ia:,RSG,L,435670188,5.4208,0.035569222980352005,5.348,-5.8074900000000005,-2.3196,3.60205999132796,-1.405,-0.8390000000000001,-0.81,-1.87,1.413287192380517,0.20785591456889818,0.4607083352163315,0.07699479616196586,1.3842354220567852,0.04169265043340477,0.04151993099834935,8.357783270923851e-05
V* QY Pup,,-15.990688891519198,-15.9906944444444,K0,334352580,116.910526620548,116.910541666667,RedSG*,K1Ia-Iab,RSG,T,334352580,4.8982,0.0954610725281232,4.755922864714002,3.5113199999999996,-2.16207,3.607669436688243,1.589,1.44,2.417,2.1,0.41523215647935596,0.11491571080136208,1.720840481152856,0.530465157144927,1.325658280041266,0.059819181586938205,0.009402513013086922,1.3948691785069261e-05
HD  17958,,64.3324435368132,64.3324444444444,K3Ibvar,390806332,44.1027061378992,44.102708333333304,V*,K3Ib,RSG,L,390806332,4.1242,0.00473245916880944,4.548,0.017249599999999997,-3.7391099999999997,3.6232492903979,-1.1520000000000001,-0.295,1.4469999999999998,1.2890000000000001,0.6927219614009011,0.06841852977958868,0.4164877329376275,0.0423099406365598,1.5274585195109989,0.03039549945932044,0.014328742874628868,1.607568532537715e-05
HD  33299,,30.7975403105992,30.797527777777802,K0,367172191,77.6457292159851,77.64575,Star,K0-Ib,RSG,L,367172191,5.2743,0.0785266006409525,4.044,-3.14161,-0.015238,3.6334684555795898,2.253,2.8,3.002,2.9560000000000004,2.201632893906336,0.26041156322176723,0.29368642996224226,0.03051389955956484,1.6866158483087927,0.031991892672819856,0.017491880345091994,2.9447240188253897e-05
